AddressID,Street,City,State,Zip
001-0054-0000,11 CONCORD ST,Providence,RI,2904
003-0616-0000,1 CHARLES ST,Providence,RI,2904
004-0146-0000,142 FRANCIS ST,Providence,RI,2903
005-0055-0000,200 CAMP ST,Providence,RI,2906
005-0134-0000,32 ROYAL ST,Providence,RI,2906
005-0476-0000,124 GRAND VIEW ST,Providence,RI,2906
006-0098-0000,121 CAMP ST,Providence,RI,2906
006-0140-0000,155 CAMP ST,Providence,RI,2906
006-0509-0000,108 Ivy St #R,Providence,RI,2906
008-0167-0000,76 DOYLE AVE,Providence,RI,2906
008-0181-0000,102 PLEASANT ST,Providence,RI,2906
008-0182-0000,98 PLEASANT ST,Providence,RI,2906
008-0234-0000,119 DOYLE AVE,Providence,RI,2906
008-0286-0000,31 Pleasant St,Providence,RI,2906
008-0470-0000,20 PADELFORD ST,Providence,RI,2906
009-0032-0000,420 HOPE ST,Providence,RI,2906
015-0208-0000,525 Angell Street,Providence,RI,2906
015-0463-0000,24 SOUTH ANGELL,Providence,RI,2906
016-0581-0001,"47 Transit St, Unit 0001",Providence,RI,2906
017-0300-0000,223 POWER ST,Providence,RI,2906
019-0120-0000,5 Exchange St,Providence,RI,2903
020-0203-0000,93 EDDY ST,Providence,RI,2903
021-0333-0000,2 Lake,Providence,RI,2905
023-0002-0000,10 HAYWARD ST,Providence,RI,2907
023-0011-0000,8 Vine,Providence,RI,2905
023-0022-0000,457 PINE ST,Providence,RI,2907
023-0033-0000,24 SOMERSET ST,Providence,RI,2907
023-0046-0000,15 SOMERSET ST,Providence,RI,2905
023-0056-0000,485 PINE ST,Providence,RI,2907
023-0073-0000,2 HAYWARD ST,Providence,RI,2907
023-0167-0000,175 PEARL ST,Providence,RI,2907
023-0216-0000,136 WEST CLIFFORD ST,Providence,RI,2907
023-0223-0000,108 Providence St,Providence,RI,2907
023-0321-0000,60 LINDEN ST,Providence,RI,2905
023-0402-0000,472 FRIENDSHIP ST,Providence,RI,2907
023-0437-0000,126 PRAIRIE AVE,Providence,RI,2905
023-0542-0000,342 Dudley St,Providence,RI,2907
023-0548-0000,407 BLACKSTONE ST,Providence,RI,2907
023-0549-0000,401 BLACKSTONE ST,Providence,RI,2905
023-0557-0000,265 Dudley St,Providence,RI,2907
023-0712-0000,77 Beacon Ave,Providence,RI,2903
023-0743-0000,34 HAYWARD ST,Providence,RI,2907
023-0763-0000,6 HAYWARD ST,Providence,RI,2907
023-0892-0000,158 PEARL ST,Providence,RI,2907
024-0243-0000,47 Maple St,Providence,RI,2903
025-0354-0000,94 WASHINGTON ST,Providence,RI,2903
025-0439-0000,3 JACKSON WLKWY,Providence,RI,2903
025-0456-0000,325 Washington St,Providence,RI,2903
026-0090-0000,57 FEDERAL ST,Providence,RI,2903
